,Gene,Pathway
1,pst:PSPTO_2195,Butanoate metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_2195,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_2195,Biosynthesis of secondary metabolites - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_2195,Microbial metabolism in diverse environments - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_2195,Biosynthesis of antibiotics - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_2195,Carbon metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_2287,Propanoate metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_2287,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_3455,Synthesis and degradation of ketone bodies - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_3455,"Valine, leucine and isoleucine degradation - Pseudomonas syringae pv. tomato DC3000"
1,pst:PSPTO_3455,Butanoate metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_3455,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1838,Arginine and proline metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1838,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_5597,Amino sugar and nucleotide sugar metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_5597,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_5597,Biosynthesis of antibiotics - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1196,Amino sugar and nucleotide sugar metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1196,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1196,Two-component system - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1182,Folate biosynthesis - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1182,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_2035,Folate biosynthesis - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_2035,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0692,Riboflavin metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0692,Folate biosynthesis - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0692,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0692,Biosynthesis of secondary metabolites - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0696,Riboflavin metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0696,Folate biosynthesis - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0696,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0696,Biosynthesis of secondary metabolites - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0696,Quorum sensing - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1694,Purine metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1694,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1302,Pentose phosphate pathway - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1302,Glyoxylate and dicarboxylate metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1302,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1302,Microbial metabolism in diverse environments - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1302,Carbon metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0480,Pyruvate metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0480,Glyoxylate and dicarboxylate metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0480,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0480,Biosynthesis of secondary metabolites - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0480,Microbial metabolism in diverse environments - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0480,Carbon metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_3559,Pyruvate metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_3559,Glyoxylate and dicarboxylate metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_3559,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_3559,Biosynthesis of secondary metabolites - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_3559,Microbial metabolism in diverse environments - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_3559,Carbon metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1843,"Glycine, serine and threonine metabolism - Pseudomonas syringae pv. tomato DC3000"
1,pst:PSPTO_1843,Monobactam biosynthesis - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1843,Cysteine and methionine metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1843,Lysine biosynthesis - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1843,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1843,Biosynthesis of secondary metabolites - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1843,Microbial metabolism in diverse environments - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1843,Biosynthesis of antibiotics - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1843,2-Oxocarboxylic acid metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1843,Biosynthesis of amino acids - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0592,"Phenylalanine, tyrosine and tryptophan biosynthesis - Pseudomonas syringae pv. tomato DC3000"
1,pst:PSPTO_0592,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0592,Biosynthesis of secondary metabolites - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0592,Biosynthesis of antibiotics - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0592,Biosynthesis of amino acids - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0592,Quorum sensing - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0592,Biofilm formation - Pseudomonas aeruginosa - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0568,"Phenylalanine, tyrosine and tryptophan biosynthesis - Pseudomonas syringae pv. tomato DC3000"
1,pst:PSPTO_0568,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0568,Biosynthesis of secondary metabolites - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0568,Biosynthesis of antibiotics - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0568,Biosynthesis of amino acids - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0568,Quorum sensing - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0568,Biofilm formation - Pseudomonas aeruginosa - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_5499,"Alanine, aspartate and glutamate metabolism - Pseudomonas syringae pv. tomato DC3000"
1,pst:PSPTO_5499,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0787,Taurine and hypotaurine metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0787,Cyanoamino acid metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0787,Glutathione metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0787,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_5035,Cysteine and methionine metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_5035,Glutathione metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_5035,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_5557,Purine metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_5557,Sulfur metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_5557,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_5557,Microbial metabolism in diverse environments - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1749,Pyrimidine metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1749,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_5278,Histidine metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_5278,Glyoxylate and dicarboxylate metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_5278,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0873,"Glycine, serine and threonine metabolism - Pseudomonas syringae pv. tomato DC3000"
1,pst:PSPTO_0873,Arginine and proline metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0873,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_4842,Arginine and proline metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_4842,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1552,Pyrimidine metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1552,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1633,"Alanine, aspartate and glutamate metabolism - Pseudomonas syringae pv. tomato DC3000"
1,pst:PSPTO_1633,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1633,Biosynthesis of secondary metabolites - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1633,Biosynthesis of amino acids - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_2281,"Glycine, serine and threonine metabolism - Pseudomonas syringae pv. tomato DC3000"
1,pst:PSPTO_2281,Methane metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_2281,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_2281,Biosynthesis of secondary metabolites - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_2281,Microbial metabolism in diverse environments - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_2281,Biosynthesis of antibiotics - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_2281,Biosynthesis of amino acids - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1421,Cysteine and methionine metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1421,Sulfur metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1421,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1421,Biosynthesis of secondary metabolites - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1421,Microbial metabolism in diverse environments - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1421,Carbon metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1421,Biosynthesis of amino acids - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_5178,Cysteine and methionine metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_5178,Sulfur metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_5178,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_5178,Biosynthesis of secondary metabolites - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_5178,Microbial metabolism in diverse environments - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_5178,Carbon metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_5178,Biosynthesis of amino acids - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0458,"Glycine, serine and threonine metabolism - Pseudomonas syringae pv. tomato DC3000"
1,pst:PSPTO_0458,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0457,"Glycine, serine and threonine metabolism - Pseudomonas syringae pv. tomato DC3000"
1,pst:PSPTO_0457,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0460,"Glycine, serine and threonine metabolism - Pseudomonas syringae pv. tomato DC3000"
1,pst:PSPTO_0460,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0459,"Glycine, serine and threonine metabolism - Pseudomonas syringae pv. tomato DC3000"
1,pst:PSPTO_0459,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1554,Glycolysis / Gluconeogenesis - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1554,Methane metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1554,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1554,Biosynthesis of secondary metabolites - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1554,Microbial metabolism in diverse environments - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1554,Biosynthesis of antibiotics - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1554,Carbon metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1554,Biosynthesis of amino acids - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1554,RNA degradation - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_4441,Amino sugar and nucleotide sugar metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_4441,Peptidoglycan biosynthesis - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_4441,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0323,Arginine biosynthesis - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0323,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0323,Biosynthesis of secondary metabolites - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0323,Biosynthesis of antibiotics - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0323,2-Oxocarboxylic acid metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0323,Biosynthesis of amino acids - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_4572,Arginine and proline metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_4572,Glutathione metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_4572,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_4572,Biosynthesis of secondary metabolites - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_4572,Biosynthesis of antibiotics - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0158,"Glycine, serine and threonine metabolism - Pseudomonas syringae pv. tomato DC3000"
1,pst:PSPTO_0158,"Phenylalanine, tyrosine and tryptophan biosynthesis - Pseudomonas syringae pv. tomato DC3000"
1,pst:PSPTO_0158,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0158,Biosynthesis of secondary metabolites - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0158,Biosynthesis of antibiotics - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0158,Biosynthesis of amino acids - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0159,"Glycine, serine and threonine metabolism - Pseudomonas syringae pv. tomato DC3000"
1,pst:PSPTO_0159,"Phenylalanine, tyrosine and tryptophan biosynthesis - Pseudomonas syringae pv. tomato DC3000"
1,pst:PSPTO_0159,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0159,Biosynthesis of secondary metabolites - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0159,Biosynthesis of antibiotics - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0159,Biosynthesis of amino acids - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_2163,Cysteine and methionine metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_2163,Tyrosine metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_2163,Phenylalanine metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_2163,"Phenylalanine, tyrosine and tryptophan biosynthesis - Pseudomonas syringae pv. tomato DC3000"
1,pst:PSPTO_2163,Novobiocin biosynthesis - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_2163,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_2163,Biosynthesis of secondary metabolites - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_2163,Biosynthesis of antibiotics - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_2163,Biosynthesis of amino acids - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0782,"Valine, leucine and isoleucine degradation - Pseudomonas syringae pv. tomato DC3000"
1,pst:PSPTO_0782,beta-Alanine metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0782,Inositol phosphate metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0782,Propanoate metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0782,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0782,Carbon metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0775,"Valine, leucine and isoleucine degradation - Pseudomonas syringae pv. tomato DC3000"
1,pst:PSPTO_0775,beta-Alanine metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0775,Inositol phosphate metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0775,Propanoate metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0775,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0775,Carbon metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_5017,"Alanine, aspartate and glutamate metabolism - Pseudomonas syringae pv. tomato DC3000"
1,pst:PSPTO_5017,Arginine and proline metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_5017,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_5017,Biosynthesis of secondary metabolites - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_5017,Biosynthesis of antibiotics - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0300,"Alanine, aspartate and glutamate metabolism - Pseudomonas syringae pv. tomato DC3000"
1,pst:PSPTO_0300,Lysine degradation - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0300,Tyrosine metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0300,Butanoate metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0300,Nicotinate and nicotinamide metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0300,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0300,Microbial metabolism in diverse environments - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0727,Glycerophospholipid metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0727,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0726,Glycerophospholipid metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0726,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_5168,Glycolysis / Gluconeogenesis - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_5168,Pentose phosphate pathway - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_5168,Fructose and mannose metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_5168,Methane metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_5168,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_5168,Biosynthesis of secondary metabolites - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_5168,Microbial metabolism in diverse environments - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_5168,Biosynthesis of antibiotics - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_5168,Carbon metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_5595,"Alanine, aspartate and glutamate metabolism - Pseudomonas syringae pv. tomato DC3000"
1,pst:PSPTO_5595,Amino sugar and nucleotide sugar metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_5595,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_5595,Biosynthesis of antibiotics - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0701,Cysteine and methionine metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0701,Selenocompound metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0701,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0701,Biosynthesis of secondary metabolites - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0701,Biosynthesis of amino acids - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_4265,Cysteine and methionine metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_4265,Selenocompound metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_4265,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_4265,Biosynthesis of secondary metabolites - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_4265,Biosynthesis of amino acids - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_2213,Glycerophospholipid metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_2213,Biosynthesis of secondary metabolites - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_4168,Glycerolipid metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_4168,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_4168,Plant-pathogen interaction - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_2703,Fructose and mannose metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_2703,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1243,Fructose and mannose metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1243,Amino sugar and nucleotide sugar metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1243,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1243,Two-component system - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1005,Fructose and mannose metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1005,Amino sugar and nucleotide sugar metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1005,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0325,Cysteine and methionine metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0325,Glutathione metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0325,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1692,Cysteine and methionine metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1692,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1692,Biosynthesis of amino acids - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0774,"Valine, leucine and isoleucine degradation - Pseudomonas syringae pv. tomato DC3000"
1,pst:PSPTO_0774,beta-Alanine metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0774,Propanoate metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0774,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_5040,Pyrimidine metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_5040,"Alanine, aspartate and glutamate metabolism - Pseudomonas syringae pv. tomato DC3000"
1,pst:PSPTO_5040,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0461,"Glycine, serine and threonine metabolism - Pseudomonas syringae pv. tomato DC3000"
1,pst:PSPTO_0461,Cyanoamino acid metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0461,Glyoxylate and dicarboxylate metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0461,One carbon pool by folate - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0461,Methane metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0461,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0461,Biosynthesis of secondary metabolites - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0461,Microbial metabolism in diverse environments - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0461,Biosynthesis of antibiotics - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0461,Carbon metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0461,Biosynthesis of amino acids - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_4632,"Glycine, serine and threonine metabolism - Pseudomonas syringae pv. tomato DC3000"
1,pst:PSPTO_4632,Cyanoamino acid metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_4632,Glyoxylate and dicarboxylate metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_4632,One carbon pool by folate - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_4632,Methane metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_4632,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_4632,Biosynthesis of secondary metabolites - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_4632,Microbial metabolism in diverse environments - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_4632,Biosynthesis of antibiotics - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_4632,Carbon metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_4632,Biosynthesis of amino acids - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_2732,Cysteine and methionine metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_2732,Selenocompound metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_2732,One carbon pool by folate - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_2732,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_2732,Biosynthesis of secondary metabolites - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_2732,Biosynthesis of amino acids - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0083,Glycolysis / Gluconeogenesis - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0083,Pentose phosphate pathway - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0083,Fructose and mannose metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0083,Galactose metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0083,Purine metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0083,Starch and sucrose metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0083,Amino sugar and nucleotide sugar metabolism - Pseudomonas syringae pv. tomato DC3000
