"Strain (Query)","Locus Tag (Query)","Description (Query)","Inparalog (Query)","Strain (Hit)","Locus Tag (Hit)","Description (Hit)","Inparalog (Hit)"
Pseudomonas aeruginosa PAO1 (Reference)","PA0880","probable ring-cleaving dioxygenase","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3893","glyoxalase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0887","acetyl-coenzyme A synthetase","","Pseudomonas syringae pv. tomato DC3000","PSPTO_1825","acetyl-CoA synthetase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0888","arginine/ornithine binding protein AotJ","","Pseudomonas syringae pv. tomato DC3000","PSPTO_1826","arginine/ornithine ABC transporter, periplasmic arginine/ornithine-binding protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0889","arginine/ornithine transport protein AotQ","","Pseudomonas syringae pv. tomato DC3000","PSPTO_1827","arginine/ornithine ABC transporter, permease protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0890","arginine/ornithine transport protein AotM","","Pseudomonas syringae pv. tomato DC3000","PSPTO_1828","arginine/ornithine ABC transporter, permease protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0893","transcriptional regulator ArgR","","Pseudomonas syringae pv. tomato DC3000","PSPTO_1831","transcriptional regulator ArgR",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0895","N2-Succinylornithine 5-aminotransferase (SOAT) = N2-acetylornithine 5-aminotransferase (ACOAT)","","Pseudomonas syringae pv. tomato DC3000","PSPTO_1832","acetylornithine delta-aminotransferase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0903","alanyl-tRNA synthetase","","Pseudomonas syringae pv. tomato DC3000","PSPTO_1842","alanyl-tRNA synthetase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0913","MgtE","","Pseudomonas syringae pv. tomato DC3000","PSPTO_1846","magnesium transporter",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0916","conserved hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_4019","ribosomal protein S12 methylthiotransferase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0918","cytochrome b561","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3505","cytochrome b561",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0923","DNA Polymerase IV, DinB","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3990","DNA polymerase IV",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0925","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_1689","lipoprotein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0928","sensor/response regulator hybrid","","Pseudomonas syringae pv. tomato DC3000","PSPTO_1691","sensor histidine kinase/response regulator GacS",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0933","probable RNA methyltransferase","","Pseudomonas syringae pv. tomato DC3000","PSPTO_1693","23S rRNA m(5)U1939 methyltransferase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0934","GTP pyrophosphokinase","","Pseudomonas syringae pv. tomato DC3000","PSPTO_1694","GTP pyrophosphokinase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0935","conserved hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_1695","nucleoside triphosphate pyrophosphohydrolase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0943","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_1698","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0944","phosphoribosylaminoimidazole synthetase","","Pseudomonas syringae pv. tomato DC3000","PSPTO_1699","phosphoribosylglycinamide formyltransferase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0947","conserved hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_1703","DNA replication initiation factor",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0949","Trp repressor binding protein WrbA","","Pseudomonas syringae pv. tomato DC3000","PSPTO_1686","trp repressor binding protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0955","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3989","lipoprotein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0956","prolyl-tRNA synthetase","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3988","prolyl-tRNA synthetase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0958","Basic amino acid, basic peptide and imipenem outer membrane porin OprD precursor","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3987","porin D",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0959","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3986","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0960","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3985","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0962","DNA-binding protein from starved cells, Dps","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3983","Dps family protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0963","aspartyl-tRNA synthetase","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3981","aspartyl-tRNA synthetase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0964","pqsR-mediated PQS regulator, PmpR","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3980","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0968","conserved hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3976","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0972","TolB protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3972","tolB protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0973","Peptidoglycan associated lipoprotein OprL precursor","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3971","peptidoglycan-associated lipoprotein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0974","conserved hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3970","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0978","conserved hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3044","ISPsy12, transposase OrfB",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0982","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0857","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1006","Protein PA1006","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3957","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1009","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3954","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1010","dihydrodipicolinate synthase","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3953","dihydrodipicolinate synthase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1011","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3952","lipoprotein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1012","conserved hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3951","metallo-beta-lactamase superfamily protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1031","conserved hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_1724","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1032","QuiP","","Pseudomonas syringae pv. tomato DC3000","PSPTO_4133","penicillin amidase family protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1037","conserved hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_4949","membrane protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1044","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_4121","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1048","probable outer membrane protein precursor","","Pseudomonas syringae pv. tomato DC3000","PSPTO_4117","ompA family protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1049","pyridoxine 5'-phosphate oxidase","","Pseudomonas syringae pv. tomato DC3000","PSPTO_4116","pyridoxamine 5'-phosphate oxidase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1050","conserved hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3281","carbohydrate diacid regulator",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1054","ShaA","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3471","putative monovalent cation/H+ antiporter subunit A",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1058","ShaE","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3475","potassium efflux system protein PhaF",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1064","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_4113","lipoprotein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1070","branched-chain amino acid transport protein BraG","","Pseudomonas syringae pv. tomato DC3000","PSPTO_4112","high-affinity amino acid ABC transporter, ATP-binding protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1071","branched-chain amino acid transport protein BraF","","Pseudomonas syringae pv. tomato DC3000","PSPTO_4111","leucine/isoleucine/valine transporter ATP-binding subunit",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1073","branched-chain amino acid transport protein BraD","","Pseudomonas syringae pv. tomato DC3000","PSPTO_4109","high-affinity branched-chain amino acid ABC transporter permease",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1074","branched-chain amino acid transport protein BraC","","Pseudomonas syringae pv. tomato DC3000","PSPTO_4108","leucine ABC transporter subunit substrate-binding protein LivK",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1076","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_1281","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1079","flagellar basal-body rod modification protein FlgD","","Pseudomonas syringae pv. tomato DC3000","PSPTO_1935","basal-body rod modification protein FlgD",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1082","flagellar basal-body rod protein FlgG","","Pseudomonas syringae pv. tomato DC3000","PSPTO_1940","flagellar basal-body rod protein FlgG",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1085","flagellar protein FlgJ","","Pseudomonas syringae pv. tomato DC3000","PSPTO_1943","peptidoglycan hydrolase FlgJ",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1092","flagellin type B","","Pseudomonas syringae pv. tomato DC3000","PSPTO_1949","flagellin",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1094","flagellar capping protein FliD","","Pseudomonas syringae pv. tomato DC3000","PSPTO_1951","flagellar hook-associated protein FliD",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1095","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_1952","flagellar protein FliS",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1102","flagellar motor switch protein FliG","","Pseudomonas syringae pv. tomato DC3000","PSPTO_1959","flagellar motor switch protein FliG",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1104","flagellum-specific ATP synthase FliI","","Pseudomonas syringae pv. tomato DC3000","PSPTO_1961","flagellum-specific ATP synthase FliI",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1106","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_1590","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1116","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_1593","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1139","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3579","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1151","pyocin S2 immunity protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_5233","colicin/pyocin immunity family protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1155","NrdB, tyrosyl radical-harboring component of class Ia ribonucleotide reductase","","Pseudomonas syringae pv. tomato DC3000","PSPTO_1661","ribonucleotide-diphosphate reductase subunit beta",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1156","NrdA, catalytic component of class Ia ribonucleotide reductase","","Pseudomonas syringae pv. tomato DC3000","PSPTO_1671","ribonucleotide-diphosphate reductase subunit alpha",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1158","probable two-component sensor","","Pseudomonas syringae pv. tomato DC3000","PSPTO_1673","sensor histidine kinase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1161","rRNA methyltransferase","","Pseudomonas syringae pv. tomato DC3000","PSPTO_1522","rRNA large subunit methyltransferase A",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1162","succinyl-diaminopimelate desuccinylase","","Pseudomonas syringae pv. tomato DC3000","PSPTO_1523","succinyl-diaminopimelate desuccinylase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1164","conserved hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_1525","ThiF family protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1165","PcpS","","Pseudomonas syringae pv. tomato DC3000","PSPTO_1675","siderophore biosynthesis protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1167","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3605","lyase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1179","two-component response regulator PhoP","","Pseudomonas syringae pv. tomato DC3000","PSPTO_1679","transcriptional regulatory protein PhoP",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1183","C4-dicarboxylate transport protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_1682","C4-dicarboxylate transport protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1186","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3198","luciferase family protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1193","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_1685","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1198","conserved hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_1705","NLP/P60 family protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1207","glutathione-regulated potassium-efflux system protein KefB","","Pseudomonas syringae pv. tomato DC3000","PSPTO_2355","glutathione-regulated potassium-efflux system protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1237","probable multidrug resistance efflux pump","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3703","HlyD family secretion protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1248","Alkaline protease secretion outer membrane protein AprF precursor","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3328","ABC transporter permease",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1252","DpkA","","Pseudomonas syringae pv. tomato DC3000","PSPTO_2359","ureidoglycolate dehydrogenase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1264","probable transcriptional regulator","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3678","LysR family transcriptional regulator",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1269","probable transcriptional regulator","","Pseudomonas syringae pv. tomato DC3000","PSPTO_5454","GntR family transcriptional regulator",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1272","cob(I)alamin adenosyltransferase","","Pseudomonas syringae pv. tomato DC3000","PSPTO_1708","cob(I)alamin adenosyltransferase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1274","conserved hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_1710","nitroreductase family protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1277","cobyric acid synthase","","Pseudomonas syringae pv. tomato DC3000","PSPTO_1713","cobyric acid synthase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1286","probable major facilitator superfamily (MFS) transporter","","Pseudomonas syringae pv. tomato DC3000","PSPTO_1718","transporter",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1288","probable outer membrane protein precursor","","Pseudomonas syringae pv. tomato DC3000","PSPTO_1720","outer membrane protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1292","probable 3-mercaptopyruvate sulfurtransferase","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0420","rhodanese-like domain-containing protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1294","ribonuclease D","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3922","ribonuclease D",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1295","conserved hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3921","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1299","conserved hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3918","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1304","probable oligopeptidase","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3911","protease II",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1307","conserved hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3909","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1308","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3908","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1317","cytochrome o ubiquinol oxidase subunit II","","Pseudomonas syringae pv. tomato DC3000","PSPTO_1325","cytochrome o ubiquinol oxidase subunit II",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1318","cytochrome o ubiquinol oxidase subunit I","","Pseudomonas syringae pv. tomato DC3000","PSPTO_1326","cytochrome o ubiquinol oxidase subunit I",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1319","cytochrome o ubiquinol oxidase subunit III","","Pseudomonas syringae pv. tomato DC3000","PSPTO_1327","cytochrome o ubiquinol oxidase subunit III",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1321","cytochrome o ubiquinol oxidase protein CyoE","","Pseudomonas syringae pv. tomato DC3000","PSPTO_1329","protoheme IX farnesyltransferase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1331","conserved hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_2532","membrane protein, TerC family",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1335","AauR","","Pseudomonas syringae pv. tomato DC3000","PSPTO_4176","sigma-54 dependent transcriptional regulator/response regulator",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1338","gamma-glutamyltranspeptidase precursor","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0787","gamma-glutamyltranspeptidase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1359","probable transcriptional regulator","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3469","DNA-binding protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1375","erythronate-4-phosphate dehydrogenase","","Pseudomonas syringae pv. tomato DC3000","PSPTO_2019","erythronate-4-phosphate dehydrogenase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1377","conserved hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_2612","GNAT family acetyltransferase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1379","probable short-chain dehydrogenase","","Pseudomonas syringae pv. tomato DC3000","PSPTO_4067","short-chain dehydrogenase/reductase family oxidoreductase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1382","probable type II secretion system protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3307","general secretion pathway protein D",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1384","UDP-glucose 4-epimerase","","Pseudomonas syringae pv. tomato DC3000","PSPTO_2900","UDP-glucose 4-epimerase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1386","probable ATP-binding component of ABC transporter","","Pseudomonas syringae pv. tomato DC3000","PSPTO_1075","O-antigen ABC transporter, ATP-binding protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1396","probable two-component sensor","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0898","sensor histidine kinase/response regulator",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1408","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_1852","mechanosensitive ion channel family protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1430","transcriptional regulator LasR","","Pseudomonas syringae pv. tomato DC3000","PSPTO_2240","LuxR family transcriptional regulator",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1435","probable Resistance-Nodulation-Cell Division (RND) efflux membrane fusion protein precursor","","Pseudomonas syringae pv. tomato DC3000","PSPTO_1309","HlyD family secretion protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1436","probable Resistance-Nodulation-Cell Division (RND) efflux transporter","","Pseudomonas syringae pv. tomato DC3000","PSPTO_1308","AcrB/AcrD/AcrF family protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1438","probable two-component sensor","","Pseudomonas syringae pv. tomato DC3000","PSPTO_1306","heavy metal sensor histidine kinase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1439","conserved hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_1642","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1440","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_1643","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1442","conserved hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_1968","flagellar basal body-associated protein FliL",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1446","flagellar biosynthetic protein FliP","","Pseudomonas syringae pv. tomato DC3000","PSPTO_1972","flagellar biosynthetic protein FliP",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1447","flagellar biosynthetic protein FliQ","","Pseudomonas syringae pv. tomato DC3000","PSPTO_1973","flagellar biosynthetic protein FliQ",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1448","flagellar biosynthetic protein FliR","","Pseudomonas syringae pv. tomato DC3000","PSPTO_1974","flagellar biosynthetic protein FliR",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1452","flagellar biosynthesis protein FlhA","","Pseudomonas syringae pv. tomato DC3000","PSPTO_1976","flagellar biosynthesis protein FlhA",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1453","flagellar biosynthesis protein FlhF","","Pseudomonas syringae pv. tomato DC3000","PSPTO_1977","flagellar biosynthesis protein FlhF",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1454","flagellar synthesis regulator FleN","","Pseudomonas syringae pv. tomato DC3000","PSPTO_1978","flagellar synthesis regulator FleN",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1455","sigma factor FliA","","Pseudomonas syringae pv. tomato DC3000","PSPTO_1979","motility sigma factor FliA",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1457","chemotaxis protein CheZ","","Pseudomonas syringae pv. tomato DC3000","PSPTO_1981","chemotaxis protein CheZ",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1461","MotD","","Pseudomonas syringae pv. tomato DC3000","PSPTO_1985","motB protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1465","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_1989","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1473","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3637","FlhB domain-containing protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1496","probable potassium channel","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3624","ion transport protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1512","secreted protein Hcp","PA0263 | secreted protein Hcp","Pseudomonas syringae pv. tomato DC3000","PSPTO_5435","secreted protein Hcp",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1516","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3667","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1521","probable guanine deaminase","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3663","guanine aminohydrolase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1522","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3662","xanthine dehydrogenase accessory factor XdhC",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1526","probable transcriptional regulator","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3659","GntR family transcriptional regulator",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1527","conserved hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3658","chromosome segregation SMC protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1528","cell division protein ZipA","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3657","cell division protein ZipA",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1529","DNA ligase","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3656","NAD-dependent DNA ligase LigA",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1531","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3647","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1543","adenine phosphoribosyltransferase","","Pseudomonas syringae pv. tomato DC3000","PSPTO_1990","adenine phosphoribosyltransferase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1544","transcriptional regulator Anr","","Pseudomonas syringae pv. tomato DC3000","PSPTO_1991","transcriptional activator Anr",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1546","oxygen-independent coproporphyrinogen III oxidase","","Pseudomonas syringae pv. tomato DC3000","PSPTO_1993","oxygen-independent coproporphyrinogen III oxidase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1547","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_1994","membrane protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1548","conserved hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_1995","cbb3-type cytochrome oxidase maturation protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1549","probable cation-transporting P-type ATPase","","Pseudomonas syringae pv. tomato DC3000","PSPTO_1996","copper-translocating P-type ATPase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1550","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_1997","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1552.1","Cytochrome c oxidase, cbb3-type, CcoQ subunit","","Pseudomonas syringae pv. tomato DC3000","PSPTO_2002","cytochrome c oxidase, cbb3-type, CcoQ subunit",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1553","Cytochrome c oxidase, cbb3-type, CcoO subunit","","Pseudomonas syringae pv. tomato DC3000","PSPTO_2003","cbb3-type cytochrome c oxidase subunit II",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1558","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_2005","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1563","conserved hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_2017","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1564","conserved hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_2018","sulfur transfer protein SirA",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1574","conserved hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_2022","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1579","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_2193","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1581","succinate dehydrogenase (C subunit)","","Pseudomonas syringae pv. tomato DC3000","PSPTO_2195","succinate dehydrogenase, cytochrome b556 subunit",""
