,0,12,24,36,48,60
2-Deoxy-D-Ribose,0.0673,0.0819,0.0778,0.0797,0.0787,0.0802
beta-Methyl-D-Glucuronic Acid,0.0672,0.1087,0.1098,0.1199,0.1135,0.1104
N-Acetyl-D-Glucosaminitol,0.0673,0.114,0.1052,0.1033,0.0996,0.1029
gamma-Hydroxy Butyric Acid,0.0636,0.1,0.1056,0.1032,0.1021,0.0962
Sorbic Acid,0.0748,0.0999,0.1093,0.111,0.115,0.1164
L-Isoleucine,0.0698,0.0933,0.1048,0.112,0.1259,0.1401
Dihydroxy Acetone,0.1376,0.1079,0.1103,0.113,0.1082,0.1109
Laminarin,0.0595,0.24,0.2858,0.2884,0.2451,0.3233
i-Erythritol,0.0634,0.1074,0.1084,0.1208,0.1025,0.114
alpha-Methyl-D-Mannoside,0.0664,0.1135,0.1193,0.1119,0.1083,0.1009
gamma-Amino Butyric Acid,0.0633,0.2099,0.4553,0.691,0.725,0.6808
a-Keto-Valeric Acid,0.0645,0.0833,0.0916,0.0954,0.1009,0.0978
Succinamic Acid,0.0619,0.1145,0.1191,0.1249,0.1168,0.1456
L-Leucine,0.062,0.1132,0.1413,0.1627,0.2357,0.3126
"2,3-Butanediol",0.0629,0.1069,0.1079,0.104,0.1016,0.0932
Mannan,0.0711,0.1094,0.1161,0.1249,0.0988,0.117
D-Fucose,0.0682,0.1015,0.1247,0.1238,0.1194,0.1178
beta-Methyl-D-Xyloside,0.06,0.1066,0.1048,0.0968,0.098,0.0915
delta-Amino Valeric Acid,0.0628,0.1025,0.1215,0.1549,0.1884,0.211
Itaconic Acid,0.0612,0.1009,0.1157,0.1236,0.1064,0.1069
D-Tartaric Acid,0.0632,0.1652,0.327,0.339,0.2707,0.2776
L-Lysine,0.0611,0.1076,0.1209,0.1208,0.1259,0.1548
"2,3-Butanedione",0.0672,0.0955,0.0935,0.0867,0.0792,0.0695
Pectin,0.0763,0.2282,0.2545,0.2389,0.2611,0.243
3-0-beta-D-Galacto-pyranosyl-D-Arabinose,0.1378,0.1121,0.1307,0.1282,0.0748,0.0774
Palatinose,0.0623,0.1021,0.1028,0.1026,0.0986,0.19
Butyric Acid,0.0627,0.1134,0.111,0.113,0.1752,0.1482
5-Keto-D-Gluconic Acid,0.0628,0.1042,0.0974,0.1047,0.0793,0.1137
L-Tartaric Acid,0.0613,0.1104,0.1114,0.1295,0.0708,0.1021
L-Methionine,0.0649,0.0964,0.0971,0.0986,0.0687,0.1826
3-Hydroxy 2-Butanone,0.063,0.1093,0.1111,0.108,0.087,0.0847
Neg,0.0683,0.1111,0.1126,0.1156,0.1095,0.0764
Neg,0.0617,0.1082,0.104,0.1096,0.1291,0.0569
D-Serine,0.0646,0.0871,0.0824,0.0782,0.0836,0.1039
D-Glucose-6-Phosphate,0.0593,0.1084,0.1092,0.121,0.1074,0.158
L-Asparagine,0.0566,0.2448,0.4731,0.3658,0.455,0.2822
L-Glutamine,0.0566,0.2951,0.7518,0.7809,0.3883,0.3917
Glycyl-L-Aspartic Acid,0.0582,0.1045,0.1107,0.1262,0.1204,0.0774
Glycyl-L-Glutamic Acid,0.0576,0.1123,0.1708,0.1972,0.2915,0.3312
Glycyl-L-Proline,0.0541,0.1014,0.1002,0.0985,0.0998,0.1278
L-Arabinose,0.0633,0.1612,0.4071,0.4659,0.5897,0.5416
D-Sorbitol,0.0627,0.1073,0.1467,0.1918,0.2209,0.2335
D-Galactonic Acid-gamma-Lactone,0.0602,0.2089,0.513,0.6654,0.6638,0.6013
D-Aspartic Acid,0.0525,0.0923,0.0995,0.0967,0.0908,0.0636
m-Tartaric Acid,0.0552,0.1128,0.2314,0.303,0.2808,0.2544
Citric Acid,0.0555,0.3589,0.4485,0.4037,0.3334,0.3248
Tricarboxylic Acid,0.0568,0.1018,0.0974,0.0963,0.0974,0.0879
p-Hydroxy Phenyl Acetic Acid,0.0592,0.0895,0.0877,0.0877,0.0854,0.0768
N-Acetyl-D-Glucosamine,0.0631,0.107,0.1083,0.1075,0.109,0.1066
Glycerol,0.0632,0.1981,0.2803,0.3254,0.3144,0.3393
"D,L-Malic Acid",0.0573,0.3257,0.4642,0.4916,0.42,0.354
D-Glucosaminic Acid,0.0558,0.1035,0.151,0.1925,0.2456,0.3101
D-Glucose-1-Phoshate,0.0538,0.1026,0.1008,0.1063,0.1082,0.0997
m-Inositol,0.0551,0.2025,0.4135,0.5698,0.6993,0.7972
L-Serine,0.0556,0.2552,0.4167,0.4634,0.4094,0.3704
m-Hydroxy Phenyl Acetic Acid,0.0616,0.0886,0.0882,0.0872,0.0842,0.0782
D-Saccharic Acid,0.0684,0.2774,0.4757,0.4116,0.423,0.4129
L-Fructose,0.0637,0.1,0.0998,0.1034,0.1033,0.0976
D-Ribose,0.0614,0.1398,0.2471,0.4026,0.4738,0.4931
"1,2-Propanediol",0.0562,0.1104,0.1113,0.1105,0.1051,0.0992
D-Fructose-6-Phosphate,0.057,0.0931,0.092,0.1,0.1107,0.0969
D-Threonine,0.0548,0.0859,0.0738,0.0766,0.0736,0.0677
L-Threonine,0.0557,0.0992,0.104,0.1148,0.1196,0.1126
Tyramine,0.0548,0.0869,0.0862,0.0878,0.0836,0.077
Succinic Acid,0.0691,0.2704,0.3731,0.3343,0.3217,0.3218
D-Glucuronic Acid,0.0639,0.1495,0.3597,0.4625,0.4352,0.3911
Tween 20,0.0673,0.1692,0.2334,0.2523,0.2486,0.2391
Tween 40,0.0652,0.187,0.2075,0.2162,0.2154,0.2158
Tween 80,0.0637,0.1708,0.1882,0.1986,0.1908,0.1802
Fumaric Acid,0.0565,0.3154,0.4,0.3668,0.3319,0.293
L-Alanine,0.0541,0.1538,0.3253,0.4676,0.4989,0.4583
D-Psicose,0.0557,0.1354,0.136,0.138,0.1281,0.1187
D-Galactose,0.0657,0.2272,0.5163,0.6063,0.6392,0.6907
D-Gluconic Acid,0.0646,0.254,0.4436,0.5106,0.4633,0.4079
L-Rhamnose,0.055,0.1004,0.0965,0.1122,0.1011,0.0952
alpha-Keto-Glutaric Acid,0.0577,0.1082,0.1383,0.1833,0.2361,0.2518
alpha-Hydroxy Glutaric Acid-gamma-Lactone,0.053,0.1037,0.1034,0.1064,0.105,0.1031
Bromo Succinic Acid,0.0571,0.2057,0.2636,0.2511,0.2429,0.2274
L-Alanyl-Glycine,0.0546,0.1509,0.2588,0.3307,0.3776,0.3309
L-Lyxose,0.0587,0.0811,0.082,0.0893,0.088,0.0882
L-Aspartic Acid,0.0657,0.2303,0.3763,0.3249,0.3283,0.3554
"D,L-alpha-Glycerol-Phosphate",0.0645,0.1105,0.1492,0.1841,0.1752,0.1715
D-Fructose,0.0521,0.1997,0.2078,0.2844,0.3396,0.4446
alpha-Keto-Butyric Acid,0.061,0.0831,0.0929,0.0924,0.0938,0.0909
alpha-Hydroxy Butyric Acid,0.0558,0.0974,0.0962,0.0939,0.0973,0.0911
Propionic Acid,0.0584,0.0706,0.0755,0.0849,0.0891,0.0942
Acetoacetic Acid,0.0574,0.1133,0.1049,0.0992,0.0981,0.0857
Glucuronamide,0.0569,0.0957,0.1007,0.1031,0.1051,0.1012
L-Proline,0.0649,0.1569,0.2901,0.4389,0.6129,0.6848
D-Xylose,0.0644,0.1233,0.2113,0.3638,0.4842,0.5552
Acetic Acid,0.0507,0.1123,0.1481,0.2196,0.1972,0.1919
alpha-Methyl-D-Glucoside,0.0558,0.1103,0.1069,0.1042,0.099,0.0946
beta-Methyl-D-Glucoside,0.055,0.107,0.1028,0.0988,0.094,0.0895
Mucic Acid,0.0583,0.2495,0.4744,0.4997,0.4426,0.4033
N-Acetyl-beta-D-Mannosamine,0.0543,0.1057,0.102,0.0991,0.1125,0.0921
Pyruvic Acid,0.0572,0.1625,0.2435,0.368,0.3465,0.3165
D-Alanine,0.0647,0.1621,0.2633,0.38,0.4761,0.47
L-Lactic Acid,0.0646,0.1041,0.1025,0.0996,0.0943,0.0907
alpha-D-Glucose,0.054,0.3191,0.5027,0.5457,0.5538,0.5498
alpha-D-Lactose,0.0552,0.109,0.1034,0.0957,0.1302,0.1033
Adonitol,0.0535,0.1044,0.1033,0.1039,0.1,0.0973
Glycolic Acid,0.0574,0.0904,0.0884,0.0913,0.0969,0.088
Mono Methyl Succinate,0.0563,0.0866,0.1122,0.1288,0.1412,0.1583
L-Galactonic Acid-gamma-Lactone,0.0563,0.0955,0.1356,0.1515,0.1499,0.1398
D-Trehalose,0.0622,0.108,0.1084,0.0982,0.1144,0.0973
Formic Acid,0.0635,0.0947,0.0977,0.0931,0.0916,0.0867
Maltose,0.0568,0.1078,0.104,0.1083,0.1236,0.1116
Lactulose,0.0551,0.1064,0.1044,0.1052,0.0998,0.0974
Maltotriose,0.0561,0.1182,0.1199,0.1203,0.1301,0.1185
Glyoxylic Acid,0.0582,0.0852,0.0825,0.0891,0.0986,0.086
Methyl Pyruvate,0.057,0.1366,0.1885,0.3314,0.3023,0.2874
D-Galacturonic Acid,0.0566,0.1034,0.1332,0.1988,0.2918,0.4175
D-Mannose,0.064,0.184,0.3929,0.558,0.6289,0.5552
D-Mannitol,0.0624,0.2335,0.4602,0.5961,0.65,0.6666
D-Melibiose,0.0566,0.106,0.1013,0.104,0.1028,0.103
Sucrose,0.0547,0.2845,0.5069,0.5563,0.5695,0.5789
2-Deoxy Adenosine,0.0528,0.045,0.0515,0.0543,0.0547,0.053
D-Cellobiose,0.0552,0.1162,0.112,0.123,0.1242,0.1146
D-Malic Acid,0.0552,0.2278,0.4387,0.4719,0.3951,0.348
Phenylethylamine,0.0596,0.0919,0.0912,0.0883,0.0882,0.0825
Dulcitol,0.0651,0.1082,0.1018,0.0921,0.1103,0.1008
L-Glutamic Acid,0.063,0.3282,0.5607,0.4427,0.4469,0.48
Thymidine,0.072,0.1258,0.0994,0.1027,0.0934,0.092
Uridine,0.0559,0.1604,0.2942,0.4511,0.4504,0.4158
Adenosine,0.0576,0.097,0.1503,0.2159,0.2181,0.2165
Inosine,0.0577,0.1524,0.2372,0.3738,0.4487,0.4337
L-Malic Acid,0.0547,0.3656,0.42,0.365,0.343,0.3194
2-Aminoethanol,0.0582,0.096,0.0986,0.1013,0.1001,0.0988
N-Acetyl-D-Galactosamine,0.0616,0.1075,0.1023,0.1198,0.1075,0.0922
Gentiobiose,0.0585,0.1056,0.1045,0.1028,0.1032,0.0872
D-Raffinose,0.0617,0.1106,0.1085,0.1127,0.1131,0.0978
Capric Acid,0.0626,0.1039,0.1895,0.266,0.2533,0.2431
D-Lactic Acid Methyl Ester,0.0614,0.1058,0.1013,0.085,0.0971,0.104
Acetamide,0.0606,0.1086,0.108,0.0977,0.0979,0.1152
L-Ornithine,0.0617,0.0655,0.0674,0.0678,0.0721,0.0797
Chondroitin Sulfate C,0.0625,0.0949,0.0829,0.0782,0.0751,0.0798
N-Acetyl-Neuraminic Acid,0.0612,0.1093,0.1073,0.0965,0.0918,0.094
L-Glucose,0.0599,0.106,0.1009,0.0951,0.0929,0.0931
Salicin,0.0631,0.1137,0.1098,0.0943,0.1091,0.0901
Caproic Acid,0.0659,0.102,0.127,0.1506,0.1597,0.1887
Malonic Acid,0.0608,0.0996,0.1539,0.2115,0.1957,0.1868
L-Alaninamide,0.0601,0.1151,0.1185,0.1265,0.1268,0.1259
L-Phenylalanine,0.0629,0.111,0.133,0.128,0.1807,0.182
alpha-Cyclodextrin,0.0641,0.1101,0.1098,0.1093,0.1023,0.0962
beta-D-Allose,0.0614,0.0921,0.117,0.105,0.1004,0.104
Lactitol,0.0602,0.1099,0.105,0.1042,0.097,0.0945
Sedoheptulosan,0.0618,0.1124,0.1025,0.0989,0.0925,0.0962
Citraconic Acid,0.0637,0.1116,0.1134,0.1105,0.106,0.1034
Melibionic Acid,0.0775,0.1176,0.1213,0.116,0.1096,0.1111
N-Acteyl-L-Glutamic Acid,0.0631,0.2031,0.3578,0.433,0.4102,0.3544
L-Pyroglutamic Acid,0.0603,0.1228,0.2637,0.4642,0.581,0.4863
beta-Cyclodextrin,0.2933,0.111,0.1113,0.1058,0.1006,0.0992
Amygdalin,0.0621,0.1257,0.1218,0.117,0.1115,0.1042
D-Melezitose,0.0597,0.1112,0.1086,0.098,0.1024,0.1064
L-Sorbose,0.0624,0.1136,0.1081,0.0944,0.0895,0.1003
Citramalic Acid,0.0606,0.1143,0.1052,0.0958,0.0964,0.0948
Oxalic Acid,0.0648,0.1172,0.1126,0.1153,0.1033,0.1021
L-Arginine,0.0593,0.1106,0.1327,0.1712,0.2357,0.316
L-Valine,0.0593,0.0857,0.0952,0.1021,0.1141,0.1342
gamma-Cyclodextrin,0.0658,0.1072,0.1155,0.0996,0.0919,0.0884
D-Arabinose,0.0633,0.104,0.0937,0.0932,0.091,0.0996
Maltitol,0.0593,0.1122,0.1032,0.088,0.0927,0.0963
Stachyose,0.0612,0.108,0.1048,0.0889,0.108,0.1128
D-Glucosamine,0.0709,0.1032,0.1084,0.1068,0.1127,0.1157
Oxalomalic Acid,0.0627,0.1153,0.1141,0.1074,0.1148,0.123
Glycine,0.0617,0.0648,0.0714,0.0732,0.0761,0.0777
"D,L-Carnitine",0.0607,0.101,0.0998,0.0889,0.0923,0.0904
Dextrin,0.0631,0.1272,0.128,0.1174,0.1112,0.1084
D-Arabitol,0.0626,0.1818,0.3197,0.356,0.378,0.3967
a-Methyl-D-Glucoside,0.0621,0.115,0.1059,0.0908,0.0908,0.0965
D-Tagatose,0.0646,0.1099,0.1062,0.0878,0.1029,0.1105
2-Hydroxy Benzoic Acid,0.0697,0.0601,0.0572,0.0567,0.056,0.0556
Quinic Acid,0.0609,0.2275,0.3456,0.3579,0.3636,0.3843
L-Histidine,0.059,0.1059,0.1341,0.1632,0.3327,0.4582
Sec-Butylamine,0.0609,0.1031,0.1012,0.1011,0.0932,0.0898
Gelatin,0.0655,0.1095,0.1086,0.1004,0.0934,0.0872
L-Arabitol,0.0632,0.1166,0.1069,0.1037,0.0952,0.1071
beta-Methyl-D-Galactoside,0.0641,0.1169,0.1178,0.0948,0.0993,0.101
Turanose,0.062,0.1258,0.1188,0.1015,0.1038,0.1126
4-Hydroxy Benzoic Acid,0.0641,0.0702,0.0865,0.0971,0.1122,0.1396
"D-Ribino-1,4-Lactone",0.0612,0.1116,0.1059,0.1014,0.0954,0.0933
L-Homoserine,0.0575,0.0576,0.0604,0.0566,0.0547,0.0573
"D,L-Octopamine",0.0593,0.1021,0.0941,0.087,0.0828,0.0901
Glycogen,0.0666,0.1173,0.1168,0.107,0.101,0.1058
Arbutin,0.0634,0.1099,0.1327,0.1308,0.1215,0.1165
3-Methyl Glucose,0.063,0.1131,0.1055,0.0952,0.099,0.1037
Xylitol,0.0631,0.1151,0.1123,0.1025,0.0952,0.0964
beta-Hydroxy Butyric Acid,0.0614,0.0964,0.1163,0.112,0.1295,0.1654
Sebacic Acid,0.0652,0.1061,0.1044,0.0961,0.0939,0.0949
Hydroxy-L-Proline,0.0599,0.1122,0.1136,0.106,0.1029,0.1046
Putrescine,0.0611,0.0985,0.0969,0.0828,0.1044,0.1316
Inulin,0.2255,0.6488,0.6624,0.6432,0.6478,0.6439
2-Deoxy-D-Ribose,0.0694,0.0841,0.0904,0.0854,0.0836,0.0865
beta-Methyl-D-Glucuronic Acid,0.0623,0.1074,0.1082,0.1068,0.1004,0.0976
N-Acetyl-D-Glucosaminitol,0.0655,0.1059,0.104,0.1014,0.103,0.1065
gamma-Hydroxy Butyric Acid,0.0609,0.1023,0.1076,0.1024,0.097,0.0977
Sorbic Acid,0.0743,0.1078,0.1036,0.1073,0.1023,0.0998
L-Isoleucine,0.0596,0.0882,0.0985,0.1145,0.1211,0.1159
Dihydroxy Acetone,0.1298,0.1112,0.1117,0.1087,0.1054,0.1068
Laminarin,0.0616,0.2564,0.2839,0.2547,0.2389,0.2261
i-Erythritol,0.0622,0.1071,0.1014,0.0961,0.0913,0.0932
alpha-Methyl-D-Mannoside,0.0621,0.1071,0.1229,0.1078,0.1001,0.1011
gamma-Amino Butyric Acid,0.0626,0.1804,0.4046,0.5833,0.6826,0.6635
a-Keto-Valeric Acid,0.0634,0.0829,0.09,0.0946,0.0944,0.0975
Succinamic Acid,0.0606,0.1164,0.1188,0.1086,0.1192,0.1278
L-Leucine,0.0658,0.131,0.1427,0.1779,0.2165,0.2987
"2,3-Butanediol",0.0597,0.1055,0.1049,0.1028,0.1,0.0966
Mannan,0.0638,0.1083,0.1199,0.088,0.0947,0.0922
D-Fucose,0.0626,0.1141,0.1242,0.116,0.1094,0.1031
beta-Methyl-D-Xyloside,0.0625,0.1091,0.1073,0.1067,0.1008,0.0884
delta-Amino Valeric Acid,0.0646,0.1073,0.1184,0.1437,0.1991,0.2215
Itaconic Acid,0.0622,0.1055,0.1046,0.0972,0.0989,0.0916
D-Tartaric Acid,0.0616,0.1585,0.351,0.3148,0.2927,0.2704
L-Lysine,0.0595,0.1069,0.1115,0.1035,0.1081,0.1139
"2,3-Butanedione",0.0638,0.0936,0.0982,0.0857,0.0806,0.0722
Pectin,0.0935,0.2472,0.2575,0.2346,0.2372,0.2328
3-0-beta-D-Galacto-pyranosyl-D-Arabinose,0.0675,0.115,0.1379,0.1363,0.1099,0.2198
Palatinose,0.0607,0.1039,0.1063,0.1042,0.2383,0.1084
Butyric Acid,0.0639,0.1166,0.1228,0.1072,0.1014,0.1327
5-Keto-D-Gluconic Acid,0.0625,0.103,0.117,0.1083,0.2053,0.1151
L-Tartaric Acid,0.0612,0.1123,0.1241,0.096,0.0763,0.092
L-Methionine,0.0603,0.099,0.0991,0.0965,0.0956,0.101
3-Hydroxy 2-Butanone,0.0591,0.111,0.1111,0.1013,0.0919,0.0834
Neg,0.0634,0.1128,0.1104,0.1104,0.1072,0.1118
Neg,0.0618,0.1112,0.1175,0.0965,0.0875,0.108
D-Serine,0.062,0.0986,0.0885,0.085,0.081,0.077
D-Glucose-6-Phosphate,0.0608,0.1068,0.1113,0.0937,0.0841,0.0922
L-Asparagine,0.0614,0.27,0.4671,0.409,0.3764,0.3917
L-Glutamine,0.0608,0.3287,0.5538,0.5608,0.5174,0.499
Glycyl-L-Aspartic Acid,0.0635,0.1089,0.1174,0.1075,0.0937,0.0963
Glycyl-L-Glutamic Acid,0.0609,0.1286,0.1532,0.1995,0.2079,0.2542
Glycyl-L-Proline,0.0617,0.1076,0.1099,0.1039,0.0901,0.0905
L-Arabinose,0.062,0.1626,0.3807,0.4697,0.4963,0.5687
D-Sorbitol,0.0616,0.1135,0.1313,0.1667,0.1878,0.2272
D-Galactonic Acid-gamma-Lactone,0.0611,0.2254,0.555,0.6288,0.6024,0.567
D-Aspartic Acid,0.0615,0.0962,0.1025,0.0931,0.0838,0.0843
m-Tartaric Acid,0.062,0.1271,0.2374,0.2984,0.2658,0.2533
Citric Acid,0.0606,0.3637,0.4263,0.3173,0.2435,0.2913
Tricarboxylic Acid,0.0602,0.1019,0.0993,0.0923,0.081,0.0812
p-Hydroxy Phenyl Acetic Acid,0.0652,0.0938,0.0953,0.097,0.0902,0.092
N-Acetyl-D-Glucosamine,0.081,0.111,0.1082,0.1067,0.1032,0.0991
Glycerol,0.0604,0.1887,0.2782,0.303,0.3204,0.3403
"D,L-Malic Acid",0.0593,0.3297,0.4516,0.4159,0.3298,0.3622
D-Glucosaminic Acid,0.0615,0.1126,0.1328,0.1772,0.2224,0.3194
D-Glucose-1-Phoshate,0.0628,0.1078,0.1046,0.0881,0.0762,0.0853
m-Inositol,0.0612,0.2599,0.4755,0.6322,0.6787,0.7889
L-Serine,0.0626,0.3011,0.464,0.4386,0.381,0.3518
m-Hydroxy Phenyl Acetic Acid,0.0615,0.0843,0.0906,0.0925,0.0886,0.0792
D-Saccharic Acid,0.0642,0.2401,0.4588,0.3634,0.3005,0.336
L-Fructose,0.0615,0.107,0.1059,0.0938,0.0845,0.086
D-Ribose,0.0666,0.1598,0.301,0.442,0.4538,0.4718
"1,2-Propanediol",0.063,0.1171,0.1104,0.1027,0.0929,0.0934
D-Fructose-6-Phosphate,0.0634,0.0995,0.096,0.082,0.073,0.0819
D-Threonine,0.0617,0.0945,0.0839,0.0824,0.0692,0.072
L-Threonine,0.0616,0.1122,0.1013,0.1239,0.1208,0.1259
Tyramine,0.0594,0.0946,0.0964,0.0946,0.0838,0.091
Succinic Acid,0.0679,0.2847,0.3694,0.3283,0.3012,0.2892
D-Glucuronic Acid,0.0602,0.1341,0.3267,0.4382,0.3831,0.386
Tween 20,0.0691,0.1927,0.2449,0.2706,0.2422,0.2611
Tween 40,0.079,0.1926,0.2278,0.2189,0.1996,0.2286
Tween 80,0.0755,0.1512,0.1844,0.1755,0.1485,0.1917
Fumaric Acid,0.0609,0.3156,0.4201,0.3344,0.2766,0.2731
L-Alanine,0.064,0.1721,0.3802,0.485,0.5001,0.4442
D-Psicose,0.0606,0.1375,0.1378,0.1203,0.106,0.1074
D-Galactose,0.0646,0.2075,0.4408,0.5824,0.6378,0.6592
D-Gluconic Acid,0.0638,0.243,0.4489,0.5078,0.4396,0.4015
L-Rhamnose,0.0632,0.1054,0.1015,0.1022,0.0976,0.0963
alpha-Keto-Glutaric Acid,0.063,0.1384,0.1835,0.2439,0.2352,0.279
alpha-Hydroxy Glutaric Acid-gamma-Lactone,0.0599,0.1072,0.0986,0.0836,0.075,0.0973
Bromo Succinic Acid,0.0597,0.2457,0.2998,0.2743,0.2522,0.2466
L-Alanyl-Glycine,0.0619,0.1707,0.3216,0.3726,0.392,0.3758
L-Lyxose,0.0624,0.0869,0.0895,0.0944,0.095,0.097
L-Aspartic Acid,0.0676,0.2088,0.3312,0.302,0.2767,0.305
"D,L-alpha-Glycerol-Phosphate",0.0644,0.1184,0.1572,0.1953,0.1805,0.1832
D-Fructose,0.0628,0.1788,0.2202,0.2395,0.3103,0.4608
alpha-Keto-Butyric Acid,0.0655,0.0876,0.0929,0.0916,0.0893,0.0865
alpha-Hydroxy Butyric Acid,0.0645,0.1044,0.1074,0.1112,0.104,0.1018
Propionic Acid,0.065,0.0787,0.0811,0.0916,0.0937,0.1001
Acetoacetic Acid,0.0647,0.1196,0.1155,0.109,0.1022,0.1003
Glucuronamide,0.0632,0.0985,0.1008,0.1032,0.1022,0.1055
L-Proline,0.0677,0.1666,0.2619,0.4251,0.561,0.735
D-Xylose,0.0637,0.1158,0.2234,0.3462,0.4298,0.524
Acetic Acid,0.0731,0.1432,0.1903,0.2237,0.2014,0.1908
alpha-Methyl-D-Glucoside,0.0626,0.1174,0.112,0.1119,0.1044,0.1085
beta-Methyl-D-Glucoside,0.0624,0.1108,0.1124,0.0975,0.086,0.0875
Mucic Acid,0.0693,0.3026,0.501,0.4655,0.3985,0.3815
N-Acetyl-beta-D-Mannosamine,0.0631,0.1133,0.1146,0.1037,0.0925,0.0977
Pyruvic Acid,0.0629,0.1509,0.24,0.3838,0.3613,0.3515
D-Alanine,0.0656,0.1684,0.2556,0.3426,0.4559,0.5114
L-Lactic Acid,0.0772,0.1119,0.111,0.1038,0.0958,0.0967
alpha-D-Glucose,0.061,0.3564,0.5191,0.548,0.5704,0.5872
alpha-D-Lactose,0.0632,0.115,0.1066,0.104,0.1002,0.1053
Adonitol,0.0638,0.1098,0.1133,0.115,0.1036,0.1025
Glycolic Acid,0.0685,0.1006,0.0971,0.099,0.0973,0.0986
Mono Methyl Succinate,0.0625,0.0926,0.1163,0.1317,0.1307,0.1469
L-Galactonic Acid-gamma-Lactone,0.0638,0.1029,0.153,0.1476,0.1298,0.1302
D-Trehalose,0.0643,0.113,0.106,0.0943,0.0856,0.0968
Formic Acid,0.0635,0.0949,0.0959,0.0935,0.0923,0.0886
Maltose,0.0638,0.1158,0.1023,0.0971,0.0907,0.0935
Lactulose,0.0781,0.1327,0.1267,0.1231,0.1086,0.1141
Maltotriose,0.0628,0.1242,0.1198,0.0945,0.0807,0.099
Glyoxylic Acid,0.0614,0.0927,0.0894,0.0794,0.0686,0.0742
Methyl Pyruvate,0.0636,0.1266,0.2032,0.3476,0.3272,0.3204
D-Galacturonic Acid,0.0618,0.1083,0.1372,0.2116,0.2856,0.4237
D-Mannose,0.0643,0.1796,0.3445,0.5155,0.5444,0.5867
D-Mannitol,0.0635,0.2371,0.4609,0.605,0.6187,0.6547
D-Melibiose,0.064,0.1126,0.102,0.092,0.084,0.0919
Sucrose,0.0698,0.318,0.573,0.6112,0.5963,0.6075
2-Deoxy Adenosine,0.0834,0.0457,0.0524,0.0516,0.0489,0.0515
D-Cellobiose,0.062,0.12,0.1227,0.106,0.0963,0.1027
D-Malic Acid,0.0615,0.2494,0.4375,0.4294,0.349,0.3394
Phenylethylamine,0.0877,0.0969,0.0999,0.0952,0.0928,0.0934
Dulcitol,0.0677,0.1078,0.1064,0.0992,0.09,0.09
L-Glutamic Acid,0.0635,0.3154,0.5061,0.4675,0.4236,0.3888
Thymidine,0.0629,0.1044,0.1048,0.0981,0.0945,0.1028
Uridine,0.0743,0.184,0.3554,0.4653,0.4489,0.5101
Adenosine,0.0631,0.0981,0.1507,0.2257,0.2346,0.247
Inosine,0.0659,0.1389,0.2624,0.4698,0.4779,0.4888
L-Malic Acid,0.0591,0.3728,0.3893,0.3204,0.2916,0.3216
2-Aminoethanol,0.064,0.1029,0.1036,0.1069,0.1108,0.1046
N-Acetyl-D-Galactosamine,0.062,0.1114,0.1133,0.0955,0.0867,0.1002
Gentiobiose,0.0666,0.1083,0.1123,0.1136,0.1042,0.1115
D-Raffinose,0.062,0.1112,0.1173,0.0994,0.0896,0.123
Capric Acid,0.0754,0.1048,0.1654,0.1932,0.193,0.201
D-Lactic Acid Methyl Ester,0.0601,0.1072,0.1046,0.0891,0.0807,0.1042
Acetamide,0.0622,0.1114,0.1118,0.0985,0.0948,0.0877
L-Ornithine,0.058,0.0607,0.0598,0.0609,0.0662,0.0672
Chondroitin Sulfate C,0.0646,0.0996,0.0925,0.0859,0.0823,0.0814
N-Acetyl-Neuraminic Acid,0.0612,0.108,0.1159,0.0991,0.0876,0.0981
L-Glucose,0.0605,0.1067,0.107,0.1039,0.0982,0.1025
Salicin,0.062,0.1155,0.1149,0.1056,0.1027,0.0977
Caproic Acid,0.0697,0.0988,0.12,0.1446,0.1612,0.183
Malonic Acid,0.0599,0.1007,0.1683,0.2016,0.182,0.1791
L-Alaninamide,0.0592,0.1067,0.1249,0.1125,0.1032,0.1194
L-Phenylalanine,0.0619,0.1074,0.137,0.1417,0.1563,0.1764
alpha-Cyclodextrin,0.0623,0.1089,0.1078,0.1002,0.0956,0.0951
beta-D-Allose,0.061,0.0976,0.1024,0.1022,0.0972,0.0992
Lactitol,0.0615,0.1122,0.115,0.1054,0.0951,0.0919
Sedoheptulosan,0.0615,0.1141,0.1009,0.0854,0.0777,0.099
Citraconic Acid,0.0622,0.1127,0.1111,0.1057,0.1051,0.0951
Melibionic Acid,0.0813,0.1203,0.1262,0.1214,0.1216,0.1226
N-Acteyl-L-Glutamic Acid,0.0608,0.1994,0.3687,0.4512,0.4521,0.3811
L-Pyroglutamic Acid,0.0601,0.1444,0.3101,0.4957,0.572,0.4963
beta-Cyclodextrin,0.1388,0.1076,0.1128,0.1098,0.1051,0.0999
Amygdalin,0.0614,0.122,0.1259,0.111,0.0974,0.1122
D-Melezitose,0.0611,0.1118,0.107,0.0978,0.0869,0.1046
L-Sorbose,0.0615,0.1116,0.1016,0.0844,0.0748,0.0932
Citramalic Acid,0.0629,0.1042,0.1064,0.0992,0.0969,0.0914
Oxalic Acid,0.0631,0.122,0.1216,0.1119,0.1046,0.0979
L-Arginine,0.06,0.096,0.1388,0.179,0.2392,0.3358
L-Valine,0.0603,0.082,0.0938,0.1067,0.1265,0.1487
gamma-Cyclodextrin,0.068,0.1072,0.1123,0.1234,0.0982,0.1061
